 iteration 1
Iter = 	31	 relative error = 	1.9869	 diff_step = 	632.7917	 diff = 	1665358.7531	 diff1 = 	1653326.6863	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	10532.0669
Iter = 	32	 relative error = 	1.987	 diff_step = 	585.1622	 diff = 	1665511.6757	 diff1 = 	1653836.6186	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	10175.0571
Iter = 	33	 relative error = 	1.987	 diff_step = 	547.5644	 diff = 	1665650.1342	 diff1 = 	1654309.5976	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	9840.5367
Iter = 	34	 relative error = 	1.9871	 diff_step = 	519.1348	 diff = 	1665772.5836	 diff1 = 	1654748.7954	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	9523.7882
Iter = 	35	 relative error = 	1.9871	 diff_step = 	500.1457	 diff = 	1665877.608	 diff1 = 	1655157.0194	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	9220.5886
Iter = 	36	 relative error = 	1.9871	 diff_step = 	486.9967	 diff = 	1665968.6196	 diff1 = 	1655538.1423	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	8930.4773
Iter = 	37	 relative error = 	1.9871	 diff_step = 	470.3039	 diff = 	1666059.7681	 diff1 = 	1655898.4521	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	8661.316
Iter = 	38	 relative error = 	1.9871	 diff_step = 	443.452	 diff = 	1666169.9765	 diff1 = 	1656246.6042	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	8423.3723
Iter = 	39	 relative error = 	1.9872	 diff_step = 	419.5885	 diff = 	1666309.1366	 diff1 = 	1656587.429	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	8221.7076
Iter = 	40	 relative error = 	1.9873	 diff_step = 	388.3549	 diff = 	1666471.4994	 diff1 = 	1656916.215	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	8055.2844
Iter = 	41	 relative error = 	1.9874	 diff_step = 	357.702	 diff = 	1666642.927	 diff1 = 	1657229.4003	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	7913.5267
