 iteration 1
Iter = 	31	 relative error = 	1.9899	 diff_step = 	301.3921	 diff = 	1666064.7805	 diff1 = 	1665472.2734	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	542.5071
Iter = 	32	 relative error = 	1.9899	 diff_step = 	279.0333	 diff = 	1666088.5919	 diff1 = 	1665502.0013	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	536.5905
Iter = 	33	 relative error = 	1.9899	 diff_step = 	260.5712	 diff = 	1666110.9959	 diff1 = 	1665530.1028	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	530.8931
Iter = 	34	 relative error = 	1.9899	 diff_step = 	245.9084	 diff = 	1666131.5939	 diff1 = 	1665556.3229	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	525.271
Iter = 	35	 relative error = 	1.9899	 diff_step = 	234.0076	 diff = 	1666150.3632	 diff1 = 	1665580.7282	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	519.635
Iter = 	36	 relative error = 	1.9899	 diff_step = 	224.2169	 diff = 	1666167.3502	 diff1 = 	1665603.4152	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	513.935
Iter = 	37	 relative error = 	1.9899	 diff_step = 	216.5024	 diff = 	1666182.4197	 diff1 = 	1665624.3023	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	508.1174
Iter = 	38	 relative error = 	1.9899	 diff_step = 	211.0587	 diff = 	1666195.1485	 diff1 = 	1665643.0246	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	502.1238
Iter = 	39	 relative error = 	1.9899	 diff_step = 	208.3386	 diff = 	1666204.9361	 diff1 = 	1665659.0595	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	495.8766
Iter = 	40	 relative error = 	1.9898	 diff_step = 	208.6276	 diff = 	1666211.3865	 diff1 = 	1665672.1424	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	489.244
Iter = 	41	 relative error = 	1.9898	 diff_step = 	210.943	 diff = 	1666214.7596	 diff1 = 	1665682.7108	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	482.0488
Iter = 	42	 relative error = 	1.9898	 diff_step = 	211.797	 diff = 	1666216.4318	 diff1 = 	1665692.1744	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	474.2574
Iter = 	43	 relative error = 	1.9898	 diff_step = 	207.7637	 diff = 	1666218.5731	 diff1 = 	1665702.0867	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	466.4864
Iter = 	44	 relative error = 	1.9898	 diff_step = 	199.7843	 diff = 	1666221.8212	 diff1 = 	1665711.7471	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	460.0742
Iter = 	45	 relative error = 	1.9898	 diff_step = 	188.4159	 diff = 	1666225.3409	 diff1 = 	1665719.8652	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	455.4757
Iter = 	46	 relative error = 	1.9898	 diff_step = 	176.9982	 diff = 	1666229.2583	 diff1 = 	1665727.419	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	451.8393
Iter = 	47	 relative error = 	1.9898	 diff_step = 	166.4656	 diff = 	1666233.5814	 diff1 = 	1665734.9667	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	448.6147
Iter = 	48	 relative error = 	1.9898	 diff_step = 	158.5501	 diff = 	1666238.1005	 diff1 = 	1665742.4177	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	445.6828
Iter = 	49	 relative error = 	1.9898	 diff_step = 	153.2923	 diff = 	1666242.6369	 diff1 = 	1665749.6692	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	442.9677
Iter = 	50	 relative error = 	1.9898	 diff_step = 	150.5722	 diff = 	1666247.0503	 diff1 = 	1665756.6537	 diff2 = 	0	 diff3 = 	0	 diff4 = 	50	 diff5 = 	440.3966
